Bar Name,Alcohol Type,Brand Name,ABC Category,Current Avg Inventory,Daily Forecast,Safety Stock,Reorder Point,Par Level,EOQ,Service Level,Current Turnover,Stockout Rate,Action Required,Forecast Method
Anderson's Bar,Rum,Captain Morgan,A,2034.601952347458,378.386253761317,733.2422978459014,1868.4010591298525,4517.104835459071,31.622776601683793,0.95,0.15352555224493378,0.0,Review Stock Level,exponential_smoothing
Anderson's Bar,Rum,Malibu,A,1859.8220357335906,355.2198989856515,718.5863654311643,1784.2460623881188,4270.7853552876795,31.62277660168379,0.95,0.17946720547983325,0.0,Review Stock Level,exponential_smoothing
Anderson's Bar,Vodka,Grey Goose,B,1964.2137239451688,17.822631899230654,403.60440652881056,457.07230222650253,581.8307255211171,31.622776601683793,0.9,0.14226446354538938,0.0,Stock OK,exponential_smoothing
Anderson's Bar,Wine,Barefoot,A,1986.2078989101967,61.247149275902125,612.4753830797323,796.2168309074386,1224.9468758387534,31.622776601683793,0.95,0.16504477329746337,0.0,Stock OK,exponential_smoothing
Brown's Bar,Beer,Heineken,B,2033.9423128406047,156.17614080628888,298.1405219914796,766.6689444103463,1859.9019300543684,31.622776601683793,0.9,0.1458046723586713,0.0,Stock OK,exponential_smoothing
Brown's Bar,Rum,Captain Morgan,A,2041.2938479280554,83.99840074669243,743.2424898993053,995.2376921393825,1583.2264973662295,31.622776601683793,0.95,0.1803809266974487,0.0,Stock OK,exponential_smoothing
Brown's Bar,Vodka,Grey Goose,A,1999.3178606236313,164.6048627448052,654.5414845064428,1148.3560727408583,2300.5901119544947,31.622776601683793,0.95,0.18834783079308326,0.0,Stock OK,exponential_smoothing
Brown's Bar,Wine,Sutter Home,B,2057.434880026545,54.16806002294936,443.2947338723241,605.7989139411723,984.9753341018177,31.622776601683793,0.9,0.14098936060335704,0.0,Stock OK,exponential_smoothing
Brown's Bar,Wine,Yellow Tail,B,2004.9630190770786,332.62261418623456,345.3709054605496,1343.2387480192533,3671.5970473228954,31.622776601683793,0.9,0.1327246103346168,0.0,Review Stock Level,exponential_smoothing
Johnson's Bar,Beer,Coors,A,1986.2294590971692,431.38195202190946,590.4258016442778,1884.571657710006,4904.245321863373,31.622776601683793,0.95,0.18128099230297984,0.0,Review Stock Level,exponential_smoothing
Johnson's Bar,Rum,Captain Morgan,B,2002.004564211515,0.0,352.4637126109727,352.4637126109727,352.4637126109727,0.0,0.9,0.12024242329827178,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Whiskey,Jameson,A,1919.1063260086107,0.0,589.3892309595319,589.3892309595319,589.3892309595319,0.0,0.95,0.1607687023670363,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Wine,Sutter Home,B,2194.989409682917,70.82356079680248,366.90522108336535,579.3759034737727,1075.1408290513903,31.622776601683793,0.9,0.11322024293711597,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Wine,Yellow Tail,B,1871.1539475804427,471.3767877083519,409.4863726505601,1823.6167357756158,5123.254249734079,31.622776601683793,0.9,0.13509727832494872,0.0,Review Stock Level,exponential_smoothing
Smith's Bar,Rum,Captain Morgan,B,2026.3200273183984,16.586534770831836,448.40265384550537,498.1622581580009,614.2680015538238,31.622776601683793,0.9,0.1365889259444008,0.0,Stock OK,exponential_smoothing
Smith's Bar,Rum,Malibu,A,1835.0533604954337,52.18108375306107,510.83104503308266,667.3742962922659,1032.6418825636933,31.622776601683793,0.95,0.17011895746753744,0.0,Stock OK,exponential_smoothing
Smith's Bar,Vodka,Smirnoff,B,2112.660616151875,6.559010944612413,371.9045846010859,391.58161743492315,437.49469404721003,31.622776601683793,0.9,0.12755988082531117,0.0,Stock OK,exponential_smoothing
Smith's Bar,Wine,Yellow Tail,B,2170.9378527793438,66.79722558613729,409.89397063099125,610.285647389403,1077.8662264923641,31.622776601683793,0.9,0.10382748894406028,0.0,Stock OK,exponential_smoothing
Taylor's Bar,Rum,Captain Morgan,A,2072.0068546477223,21.796307738605506,539.0283842260538,604.4173074418703,756.9914616121089,31.622776601683793,0.95,0.16470822759459225,0.0,Stock OK,exponential_smoothing
Taylor's Bar,Vodka,Smirnoff,A,2040.1150245337597,444.990444773439,647.3176198662485,1982.2889541865657,5097.222067600638,31.622776601683793,0.95,0.1845933953154801,0.0,Review Stock Level,exponential_smoothing
Thomas's Bar,Beer,Budweiser,B,2044.750268993997,27.74152066458128,317.13268788852866,400.3572498822725,594.5478945343415,31.622776601683793,0.9,0.13655201186746235,0.0,Stock OK,exponential_smoothing
Thomas's Bar,Rum,Captain Morgan,A,1856.794658240694,26.607152178462975,806.9480638856713,886.7695204210603,1073.019585670301,31.622776601683793,0.95,0.19079420491211962,0.04,Stock OK,exponential_smoothing
Anderson's Bar,Beer,Miller,B,2003.8212400949908,37.16994656226864,389.5836083483503,501.09344803515626,761.2830739710367,31.622776601683793,0.9,0.1320097884673319,0.0,Stock OK,exponential_smoothing
Anderson's Bar,Wine,Sutter Home,B,2142.2986912155025,27.686241551390808,380.56272275096734,463.62144740513975,657.4251382648754,31.622776601683793,0.9,0.12403885019895675,0.0,Stock OK,exponential_smoothing
Brown's Bar,Whiskey,Jameson,B,2007.4160352595288,546.0563817777833,331.9903940962455,1970.159539429595,5792.554211874079,31.622776601683793,0.9,0.11621465712369702,0.0,Review Stock Level,exponential_smoothing
Johnson's Bar,Rum,Bacardi,A,1945.0328346656195,88.74146448086331,640.3350539367245,906.5594473793144,1527.7496987453578,31.622776601683793,0.95,0.19237383486930465,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Rum,Malibu,A,2113.9864125281215,169.16003226478378,576.9526089043222,1084.4327056986735,2268.55293155216,31.622776601683793,0.95,0.14469086137672715,0.0,Stock OK,exponential_smoothing
Smith's Bar,Beer,Heineken,B,1861.4610622334424,91.92028765018358,212.1673098290658,487.92817277961655,1131.3701863309016,31.622776601683793,0.9,0.10387886360955541,0.0,Stock OK,exponential_smoothing
Taylor's Bar,Rum,Malibu,B,2010.8844175008805,115.05140919524517,393.7390997388987,738.8933273246341,1544.2531916913504,31.622776601683793,0.9,0.13800239762546326,0.0,Stock OK,exponential_smoothing
Taylor's Bar,Whiskey,Jack Daniels,B,2076.675922927951,110.72567194201342,414.1082124445102,746.2852282705504,1521.3649318646444,31.622776601683793,0.9,0.13403110455186953,0.0,Stock OK,exponential_smoothing
Taylor's Bar,Wine,Barefoot,B,1965.5921007952775,408.00478690136845,505.71576429820294,1729.7301250023083,4585.763633311887,31.622776601683793,0.9,0.13388726228230022,0.0,Review Stock Level,exponential_smoothing
Thomas's Bar,Vodka,Grey Goose,B,1981.8682295088029,103.76280720161357,371.10864209427524,682.397063699116,1408.736714110411,31.622776601683793,0.9,0.13244945169332537,0.0,Stock OK,exponential_smoothing
Thomas's Bar,Whiskey,Jim Beam,B,2028.3066148254052,242.75389241306883,421.8788475194631,1150.1405247586695,2849.4177716501517,31.622776601683793,0.9,0.14237041352645255,0.0,Stock OK,exponential_smoothing
Anderson's Bar,Beer,Budweiser,B,1967.9169683733237,148.11588764453685,390.33130285846494,834.6789657920755,1871.4901793038334,31.622776601683793,0.9,0.1433674104542044,0.0,Stock OK,exponential_smoothing
Anderson's Bar,Whiskey,Jim Beam,A,1973.5514723361714,113.90133515460396,602.1915550225091,943.895560486321,1741.2049065685487,31.622776601683793,0.95,0.16406424222454047,0.0,Stock OK,exponential_smoothing
Anderson's Bar,Wine,Yellow Tail,B,2184.738804823841,338.1540225495404,329.65095420689397,1344.1130218555152,3711.191179702298,31.622776601683793,0.9,0.11023815483316432,0.0,Review Stock Level,exponential_smoothing
Brown's Bar,Beer,Coors,B,2044.5062236802626,67.53610838662632,284.5647346467186,487.17305980659756,959.9258185129818,31.62277660168379,0.9,0.09694521222453673,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Vodka,Grey Goose,B,1915.9026656370743,41.86573684191565,400.825118709316,526.4223292350629,819.4824871284725,31.622776601683793,0.9,0.14833793965019132,0.0,Stock OK,exponential_smoothing
Smith's Bar,Whiskey,Jim Beam,B,1894.3549389638438,66.56625974458524,307.7674022880462,507.4661815218019,973.4299997338985,31.622776601683796,0.9,0.11707573973008092,0.0,Stock OK,exponential_smoothing
Taylor's Bar,Vodka,Absolut,B,2176.4857498149318,365.7931870553795,462.6582747074922,1560.0378358736307,4120.590145261287,31.622776601683793,0.9,0.13378642233105653,0.0,Review Stock Level,exponential_smoothing
Taylor's Bar,Wine,Yellow Tail,B,1911.6130145073312,475.0785402950535,505.7630411645784,1930.9986620497389,5256.548444115113,31.622776601683796,0.9,0.13625321796895562,0.0,URGENT: Reorder Now,exponential_smoothing
Thomas's Bar,Rum,Bacardi,A,1906.7681813826878,326.99179204913435,580.9215347401707,1561.8969108875738,3850.839455231514,31.622776601683796,0.95,0.1747649567461324,0.0,Review Stock Level,exponential_smoothing
Thomas's Bar,Rum,Malibu,A,2028.0263792083988,135.231872334442,745.3727794834883,1151.0683964868144,2097.691502827908,31.622776601683793,0.95,0.19719467370083016,0.0,Stock OK,exponential_smoothing
Thomas's Bar,Whiskey,Jack Daniels,A,2108.5661254276397,512.6856986292553,597.5047525620479,2135.5618484498136,5724.3617388546,31.622776601683793,0.95,0.1847458661849716,0.0,URGENT: Reorder Now,exponential_smoothing
Anderson's Bar,Rum,Bacardi,B,1936.3665147995232,110.3347782546837,424.47801920513285,755.482353969184,1527.8258017519697,31.622776601683793,0.9,0.14415937656339292,0.0,Stock OK,exponential_smoothing
Brown's Bar,Rum,Malibu,A,1855.7335697183535,469.4499908083795,614.2715900084248,2022.6215624335632,5308.77149809222,31.622776601683793,0.95,0.20830295808908408,0.0,URGENT: Reorder Now,exponential_smoothing
Brown's Bar,Vodka,Smirnoff,B,1953.074387120181,223.55993624159547,401.68301137679987,1072.3628201015863,2637.2823737927547,31.622776601683793,0.9,0.1471468352547981,0.0,Stock OK,exponential_smoothing
Brown's Bar,Whiskey,Jack Daniels,A,1992.0931022591017,530.2060251719456,571.7457973098406,2162.3638728256774,5873.806049029297,31.622776601683796,0.95,0.1571928573471926,0.0,URGENT: Reorder Now,exponential_smoothing
Brown's Bar,Wine,Barefoot,B,2045.6932169328259,160.80594422702345,423.94087474410867,906.358707425179,2032.0003170143432,31.622776601683793,0.9,0.13682656466277987,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Beer,Heineken,A,2024.7363037334778,0.0,622.189664829634,622.189664829634,622.189664829634,0.0,0.95,0.16216295952855225,0.0,Stock OK,exponential_smoothing
Johnson's Bar,Whiskey,Jim Beam,A,2007.2706901440265,129.24036126515387,787.8838850021357,1175.6049687975974,2080.287497653674,31.622776601683793,0.95,0.20231503666699285,0.0,Stock OK,exponential_smoothing
